"","Stock","Method","Index","FixN2","Use.r","Use.k","Use.q","Resilience","Prior.r.low","Prior.r.hi","Prior.k.low","Prior.k.hi","Prior.log.k","Prior.log.k.sd","Prior.q.low","Prior.q.hi","Prior.log.q","Prior.log.q.sd","r","r.low","r.high","k","k.low","k.high","msy","msy.low","msy.high","fmsy","fmsy.low","fmsy.high","bmsy","bmsy.low","bmsy.high","b.end","b.end.low","b.end.hi","bbmsy","bbmsy.low","bbmsy.hi","f.end","f.end.low","f.end.hi","ffmsy","ffmsy.low","ffmsy.hi","Converge","Prior.Warn","Fit.Warn"
"18","Sol_7_fg","SPICT","1","N","Y","N","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.49375593061188,NA,NA,5.92092317963689,NA,NA,1.12321916,NA,NA,0.54444732,NA,NA,2.06304184,NA,NA,2.23854695,NA,NA,1.08507104,NA,NA,0.35895352,NA,NA,0.65929891,NA,NA,"Convergence: 1  MSG: false convergence (8)","",""
"19","Sol_7_fg","SPICT","1","N","Y","Y","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.567427916301,0.392028383506434,0.742827449095566,5.71731519049156,3.70072175440736,7.73390862657576,1.10517852,1.07622403,1.13491199,0.50179514,0.31998505,0.78690664,2.20248319,1.42315805,3.40856885,2.57632311,1.51566354,4.37923101,1.16973565,0.82909559,1.65033021,0.31572693,0.1825902,0.54594109,0.62919488,0.43220522,0.9159681,"Convergence: 1  MSG: false convergence (8)","",""
"110","Sol_7_fg","SPICT","All","N","N","N","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.388823656104134,-0.0163535871335152,0.794000899341784,5.29854639413994,2.1577552317609,8.43933755651898,1.2180699,0.9787038,1.51597888,1.2632957,0.30337943,5.2604621,0.96418771,0.27146349,3.42461504,1.97842141,1.13983623,3.43395933,2.05190481,0.64447675,6.5329174,0.39789565,0.22663452,0.69857384,0.31496636,0.08139621,1.21877681,"Convergence: 0  MSG: relative convergence (4)","",""
"111","Sol_7_fg","SPICT","All","Y","N","N","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.925561981341325,0.446582630308834,1.40454133237382,4.96129191521274,2.46462880415274,7.45795502627273,1.12198459,1.00700019,1.2500985,0.45911786,0.27319866,0.77156019,2.44407528,1.47325931,4.05461818,2.68366339,1.45351795,4.95490901,1.09802812,0.79951729,1.50799209,0.29425255,0.15789014,0.54838487,0.64090853,0.42676959,0.96249537,"Convergence: 0  MSG: relative convergence (4)","",""
"112","Sol_7_fg","SPICT","All","Y","Y","N","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.785737124148204,0.406656474380899,1.16481777391551,5.80057177041199,3.0234416763226,8.57770186450139,1.11367821,0.98910739,1.25393781,0.38951552,0.23986608,0.63252936,2.85948831,1.77193003,4.6145577,3.14147469,1.69137589,5.83481372,1.09861428,0.79491205,1.51834828,0.25207003,0.1341987,0.47347181,0.64713733,0.42597922,0.98311538,"Convergence: 0  MSG: relative convergence (4)","",""
"113","Sol_7_fg","SPICT","All","Y","Y","Y","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.614833349388527,0.293800671892787,0.935866026884266,7.54228677135115,3.30510402924074,11.7794695134616,1.12914281,0.94726828,1.34593706,0.30414381,0.17952582,0.51526549,3.71315343,2.12765997,6.48012772,4.27017233,1.97766457,9.2201539,1.15001236,0.8014489,1.65017187,0.18602528,0.08544441,0.40500488,0.61163591,0.36902637,1.01374461,"Convergence: 0  MSG: relative convergence (4)","",""
"114","Sol_7_fg","SPICT","All","Y","Y","N","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.537329222454639,0.35251842376104,0.722140021148239,8.64425215271773,6.50386545038262,10.7846388550528,1.13109305,0.94017605,1.36077864,0.26572229,0.18839335,0.37479208,4.25739041,3.32230305,5.45566518,4.89353343,3.66560226,6.53280626,1.14942088,0.85931288,1.53747069,0.1624711,0.11762641,0.22441269,0.61143196,0.39408401,0.94865315,"Convergence: 0  MSG: relative convergence (4)","",""
"115","Sol_7_fg","SPICT","All","Y","Y","Y","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.509582948348707,0.333399884903691,0.685766011793723,9.04437559669974,6.78362996859844,11.305121224801,1.12199516,0.93258292,1.34987796,0.2519383,0.17826369,0.35606188,4.45422198,3.46946728,5.7184841,4.99737614,3.74239277,6.67320878,1.12194142,0.82905444,1.51829902,0.15912029,0.11513128,0.21991648,0.63158436,0.40332139,0.98903457,"Convergence: 0  MSG: relative convergence (4)","",""
"116","Sol_7_fg","SPICT","All","N","Y","N","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.44857613799051,0.146441170112516,0.750711105868503,4.94518825995809,2.8479877100371,7.04238880987909,1.20829282,0.98807725,1.47758847,1.1432697,0.33964203,3.84836236,1.05687932,0.36171379,3.08806004,1.9681606,1.12972484,3.4288492,1.86223777,0.75095139,4.61804791,0.39981015,0.22698608,0.70422007,0.34970764,0.11684665,1.04663188,"Convergence: 0  MSG: relative convergence (4)","",""
"117","Sol_7_fg","SPICT","All","N","Y","Y","N","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.349188464393399,0.0957436907479719,0.602633238038825,6.09813367234594,3.48320687519303,8.71306046949885,1.19465488,0.96780759,1.47467358,0.96997074,0.25892225,3.63369012,1.23163867,0.37762066,4.01708375,2.25681337,1.22583554,4.1548857,1.83236645,0.67105281,5.00343154,0.34959008,0.18804151,0.64992684,0.36041301,0.10884569,1.19341004,"Convergence: 0  MSG: relative convergence (4)","",""
"118","Sol_7_fg","SPICT","All","N","Y","N","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.432066814379561,0.168595104761801,0.695538523997322,8.46798085994681,6.29497239459424,10.6409893252994,1.28162199,0.80829283,2.03212854,0.40129202,0.11028486,1.46017576,3.19376179,1.33525754,7.6390614,4.84799874,3.64502233,6.44799667,1.51795878,0.63537611,3.62651165,0.16395727,0.11917251,0.22557205,0.40857348,0.10995101,1.51824236,"Convergence: 0  MSG: relative convergence (4)","",""
"119","Sol_7_fg","SPICT","All","N","Y","Y","Y","Medium","0.2","0.8","2.32625","37.22","2.98432369247059","0.535016540874068","1.94019507059957","7.76078028239828","1.57907925174984","0.229072682968539",0.408842513880247,0.144219442981259,0.673465584779236,8.90400439880785,6.57174035736147,11.2362684402542,1.24846818,0.81394816,1.91495341,0.36484266,0.10712499,1.2425688,3.4219777,1.4756937,7.93520454,4.95339004,3.72103153,6.59389008,1.4475226,0.62221204,3.36753636,0.16047164,0.11650441,0.22103152,0.43983791,0.12576945,1.53819065,"Convergence: 0  MSG: relative convergence (4)","",""
